epoch,epoch_train_duration_minutes,lr-RangerLite,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,,,1049,,0.3755015730857849,,
,,0.001,1059,,,,
0,,,1059,,0.33692967891693115,,
,,0.001,1069,,,,
0,,,1069,,0.41401582956314087,,
,,0.001,1079,,,,
0,,,1079,,0.36865702271461487,,
,,0.001,1089,,,,
0,,,1089,,0.39577555656433105,,
,,0.001,1099,,,,
0,,,1099,,0.379764586687088,,
,,0.001,1109,,,,
0,,,1109,,0.3517487049102783,,
,,0.001,1119,,,,
0,,,1119,,0.3213704228401184,,
,,0.001,1129,,,,
0,,,1129,,0.3454396724700928,,
,,0.001,1139,,,,
0,,,1139,,0.4036654829978943,,
,,0.001,1149,,,,
0,,,1149,,0.4062364101409912,,
,,0.001,1159,,,,
0,,,1159,,0.33017292618751526,,
,,0.001,1169,,,,
0,,,1169,,0.3233984112739563,,
,,0.001,1179,,,,
0,,,1179,,0.33806079626083374,,
,,0.001,1189,,,,
0,,,1189,,0.3099398910999298,,
,,0.001,1199,,,,
0,,,1199,,0.2988409399986267,,
,,0.001,1209,,,,
0,,,1209,,0.3384377062320709,,
,,0.001,1219,,,,
0,,,1219,,0.3172335624694824,,
,,0.001,1229,,,,
0,,,1229,,0.3165381848812103,,
,,0.001,1239,,,,
0,,,1239,,0.31397438049316406,,
,,0.001,1249,,,,
0,,,1249,,0.33623430132865906,,
,,0.001,1259,,,,
0,,,1259,,0.31250324845314026,,
,,0.001,1269,,,,
0,,,1269,,0.3142823576927185,,
,,0.001,1279,,,,
0,,,1279,,0.3155823349952698,,
,,0.001,1289,,,,
0,,,1289,,0.270934522151947,,
,,0.001,1299,,,,
0,,,1299,,0.33794841170310974,,
,,0.001,1309,,,,
0,,,1309,,0.2883949875831604,,
,,0.001,1319,,,,
0,,,1319,,0.2870790362358093,,
,,0.001,1329,,,,
0,,,1329,,0.28983354568481445,,
,,0.001,1339,,,,
0,,,1339,,0.308819979429245,,
,,0.001,1349,,,,
0,,,1349,,0.2697741389274597,,
,,0.001,1359,,,,
0,,,1359,,0.283444344997406,,
,,0.001,1369,,,,
0,,,1369,,0.2826538681983948,,
,,0.001,1379,,,,
0,,,1379,,0.3665395677089691,,
,,0.001,1389,,,,
0,,,1389,,0.28086963295936584,,
,,0.001,1399,,,,
0,,,1399,,0.24134477972984314,,
,,0.001,1409,,,,
0,,,1409,,0.34191346168518066,,
,,0.001,1419,,,,
0,,,1419,,0.27719664573669434,,
,,0.001,1429,,,,
0,,,1429,,0.36089712381362915,,
,,0.001,1439,,,,
0,,,1439,,0.26698917150497437,,
,,0.001,1449,,,,
0,,,1449,,0.26451897621154785,,
,,0.001,1459,,,,
0,,,1459,,0.2554522156715393,,
,,0.001,1469,,,,
0,,,1469,,0.2788524031639099,,
,,0.001,1479,,,,
0,,,1479,,0.2623045742511749,,
,,0.001,1489,,,,
0,,,1489,,0.2362484633922577,,
,,0.001,1499,,,,
0,,,1499,,0.26242825388908386,,
,,0.001,1509,,,,
0,,,1509,,0.21651867032051086,,
,,0.001,1519,,,,
0,,,1519,,0.23208610713481903,,
,,0.001,1529,,,,
0,,,1529,,0.24090060591697693,,
,,0.001,1539,,,,
0,,,1539,,0.23744137585163116,,
,,0.001,1549,,,,
0,,,1549,,0.3152413070201874,,
,,0.001,1559,,,,
0,,,1559,,0.22297018766403198,,
,,0.001,1569,,,,
0,,,1569,,0.2254103124141693,,
,,0.001,1579,,,,
0,,,1579,,0.26892462372779846,,
,,0.001,1589,,,,
0,,,1589,,0.21479615569114685,,
,,0.001,1599,,,,
0,,,1599,,0.24548247456550598,,
,,0.001,1609,,,,
0,,,1609,,0.253842830657959,,
,,0.001,1619,,,,
0,,,1619,,0.25006264448165894,,
,,0.001,1629,,,,
0,,,1629,,0.2195206880569458,,
,,0.001,1639,,,,
0,,,1639,,0.21576836705207825,,
,,0.001,1649,,,,
0,,,1649,,0.1978975236415863,,
,,0.001,1659,,,,
0,,,1659,,0.19613486528396606,,
,,0.001,1669,,,,
0,,,1669,,0.20595937967300415,,
,,0.001,1679,,,,
0,,,1679,,0.21837659180164337,,
,,0.001,1689,,,,
0,,,1689,,0.19727230072021484,,
,,0.001,1699,,,,
0,,,1699,,0.23695671558380127,,
,,0.001,1709,,,,
0,,,1709,,0.18499846756458282,,
,,0.001,1719,,,,
0,,,1719,,0.17982247471809387,,
,,0.001,1729,,,,
0,,,1729,,0.1783280074596405,,
,,0.001,1739,,,,
0,,,1739,,0.22857946157455444,,
,,0.001,1749,,,,
0,,,1749,,0.18482337892055511,,
,,0.001,1759,,,,
0,,,1759,,0.17535753548145294,,
,,0.001,1769,,,,
0,,,1769,,0.19279149174690247,,
,,0.001,1779,,,,
0,,,1779,,0.18831095099449158,,
,,0.001,1789,,,,
0,,,1789,,0.19859249889850616,,
,,0.001,1799,,,,
0,,,1799,,0.18913869559764862,,
,,0.001,1809,,,,
0,,,1809,,0.1952255815267563,,
,,0.001,1819,,,,
0,,,1819,,0.1775020807981491,,
,,0.001,1829,,,,
0,,,1829,,0.201926127076149,,
,,0.001,1839,,,,
0,,,1839,,0.21646980941295624,,
,,0.001,1849,,,,
0,,,1849,,0.20446355640888214,,
,,0.001,1859,,,,
0,,,1859,,0.19527894258499146,,
,,0.001,1869,,,,
0,,,1869,,0.20177267491817474,,
,,0.001,1879,,,,
0,,,1879,,0.1898420751094818,,
,,0.001,1889,,,,
0,,,1889,,0.22990940511226654,,
,,0.001,1899,,,,
0,,,1899,,0.19664406776428223,,
,,0.001,1909,,,,
0,,,1909,,0.16864070296287537,,
,,0.001,1919,,,,
0,,,1919,,0.18876995146274567,,
,,0.001,1929,,,,
0,,,1929,,0.1737767606973648,,
,,0.001,1939,,,,
0,,,1939,,0.18631893396377563,,
,,0.001,1949,,,,
0,,,1949,,0.2195713222026825,,
,,0.001,1959,,,,
0,,,1959,,0.21898430585861206,,
,,0.001,1969,,,,
0,,,1969,,0.1834944188594818,,
,,0.001,1979,,,,
0,,,1979,,0.18401846289634705,,
,,0.001,1989,,,,
0,,,1989,,0.1806735396385193,,
,,0.001,1999,,,,
0,,,1999,,0.18301329016685486,,
,,,0,,,,0.18759393692016602
,,,1,,,,0.17960543930530548
,,,2,,,,0.17330586910247803
,,,3,,,,0.17028838396072388
,,,4,,,,0.1760684847831726
,,,5,,,,0.17676055431365967
,,,6,,,,0.18289992213249207
,,,7,,,,0.17408163845539093
,,,8,,,,0.18451398611068726
,,,9,,,,0.17916369438171387
,,,10,,,,0.17560935020446777
,,,11,,,,0.18156024813652039
,,,12,,,,0.18649061024188995
,,,13,,,,0.18273453414440155
,,,14,,,,0.1815064400434494
,,,15,,,,0.18653512001037598
,,,16,,,,0.17880849540233612
,,,17,,,,0.17377707362174988
,,,18,,,,0.18058131635189056
,,,19,,,,0.18295034766197205
,,,20,,,,0.18822161853313446
,,,21,,,,0.1799505650997162
,,,22,,,,0.17254938185214996
,,,23,,,,0.17828983068466187
,,,24,,,,0.17750830948352814
,,,25,,,,0.18330933153629303
,,,26,,,,0.18686844408512115
,,,27,,,,0.1757366806268692
,,,28,,,,0.181425079703331
,,,29,,,,0.177671879529953
,,,30,,,,0.17641763389110565
,,,31,,,,0.1831773966550827
,,,32,,,,0.18074330687522888
,,,33,,,,0.18265044689178467
,,,34,,,,0.18193642795085907
,,,35,,,,0.17981047928333282
,,,36,,,,0.17269636690616608
,,,37,,,,0.18041540682315826
,,,38,,,,0.17942652106285095
,,,39,,,,0.18103986978530884
,,,40,,,,0.18347275257110596
,,,41,,,,0.176353320479393
,,,42,,,,0.1780368983745575
,,,43,,,,0.17789411544799805
,,,44,,,,0.1784926950931549
,,,45,,,,0.1771419793367386
,,,46,,,,0.17324644327163696
,,,47,,,,0.17867229878902435
,,,48,,,,0.17530524730682373
,,,49,,,,0.18191970884799957
0,,,1999,,,0.17950433492660522,
0,8.290136337280273,,1999,0.6827002167701721,,,
,,0.001,2009,,,,
1,,,2009,,0.16522015631198883,,
,,0.001,2019,,,,
1,,,2019,,0.1608087718486786,,
,,0.001,2029,,,,
1,,,2029,,0.16473761200904846,,
,,0.001,2039,,,,
1,,,2039,,0.1770455241203308,,
,,0.001,2049,,,,
1,,,2049,,0.16872525215148926,,
,,0.001,2059,,,,
1,,,2059,,0.16193099319934845,,
,,0.001,2069,,,,
1,,,2069,,0.16646713018417358,,
,,0.001,2079,,,,
1,,,2079,,0.1727924644947052,,
,,0.001,2089,,,,
1,,,2089,,0.16867241263389587,,
,,0.001,2099,,,,
1,,,2099,,0.1594393253326416,,
,,0.001,2109,,,,
1,,,2109,,0.14720450341701508,,
,,0.001,2119,,,,
1,,,2119,,0.15776929259300232,,
,,0.001,2129,,,,
1,,,2129,,0.15622387826442719,,
,,0.001,2139,,,,
1,,,2139,,0.16085244715213776,,
,,0.001,2149,,,,
1,,,2149,,0.15261903405189514,,
,,0.001,2159,,,,
1,,,2159,,0.1617927849292755,,
,,0.001,2169,,,,
1,,,2169,,0.15573115646839142,,
,,0.001,2179,,,,
1,,,2179,,0.15397532284259796,,
,,0.001,2189,,,,
1,,,2189,,0.15401886403560638,,
,,0.001,2199,,,,
1,,,2199,,0.1522841900587082,,
,,0.001,2209,,,,
1,,,2209,,0.16263921558856964,,
,,0.001,2219,,,,
1,,,2219,,0.1466829478740692,,
,,0.001,2229,,,,
1,,,2229,,0.1582922637462616,,
,,0.001,2239,,,,
1,,,2239,,0.1592886745929718,,
,,0.001,2249,,,,
1,,,2249,,0.15310147404670715,,
,,0.001,2259,,,,
1,,,2259,,0.15434132516384125,,
,,0.001,2269,,,,
1,,,2269,,0.16174732148647308,,
,,0.001,2279,,,,
1,,,2279,,0.15252287685871124,,
,,0.001,2289,,,,
1,,,2289,,0.15821270644664764,,
,,0.001,2299,,,,
1,,,2299,,0.15257135033607483,,
,,0.001,2309,,,,
1,,,2309,,0.1620321422815323,,
,,0.001,2319,,,,
1,,,2319,,0.1516464650630951,,
,,0.001,2329,,,,
1,,,2329,,0.16839072108268738,,
,,0.001,2339,,,,
1,,,2339,,0.15314671397209167,,
,,0.001,2349,,,,
1,,,2349,,0.15815645456314087,,
,,0.001,2359,,,,
1,,,2359,,0.15567846596240997,,
,,0.001,2369,,,,
1,,,2369,,0.14933449029922485,,
,,0.001,2379,,,,
1,,,2379,,0.1527300924062729,,
,,0.001,2389,,,,
1,,,2389,,0.14894485473632812,,
,,0.001,2399,,,,
1,,,2399,,0.13914966583251953,,
,,0.001,2409,,,,
1,,,2409,,0.1514483094215393,,
,,0.001,2419,,,,
1,,,2419,,0.17352037131786346,,
,,0.001,2429,,,,
1,,,2429,,0.19637902081012726,,
,,0.001,2439,,,,
1,,,2439,,0.1535206139087677,,
,,0.001,2449,,,,
1,,,2449,,0.1747819483280182,,
,,0.001,2459,,,,
1,,,2459,,0.15404880046844482,,
,,0.001,2469,,,,
1,,,2469,,0.1563301980495453,,
,,0.001,2479,,,,
1,,,2479,,0.1444816291332245,,
,,0.001,2489,,,,
1,,,2489,,0.16940896213054657,,
,,0.001,2499,,,,
1,,,2499,,0.14739713072776794,,
,,0.001,2509,,,,
1,,,2509,,0.1545940339565277,,
,,0.001,2519,,,,
1,,,2519,,0.14364726841449738,,
,,0.001,2529,,,,
1,,,2529,,0.13625609874725342,,
,,0.001,2539,,,,
1,,,2539,,0.13445889949798584,,
,,0.001,2549,,,,
1,,,2549,,0.141779825091362,,
,,0.001,2559,,,,
1,,,2559,,0.14123888313770294,,
,,0.001,2569,,,,
1,,,2569,,0.1445097029209137,,
,,0.001,2579,,,,
1,,,2579,,0.13312989473342896,,
,,0.001,2589,,,,
1,,,2589,,0.144707590341568,,
,,0.001,2599,,,,
1,,,2599,,0.13343141973018646,,
,,0.001,2609,,,,
1,,,2609,,0.1351032555103302,,
,,0.001,2619,,,,
1,,,2619,,0.13980378210544586,,
,,0.001,2629,,,,
1,,,2629,,0.1360076665878296,,
,,0.001,2639,,,,
1,,,2639,,0.1374019831418991,,
,,0.001,2649,,,,
1,,,2649,,0.1285584419965744,,
,,0.001,2659,,,,
1,,,2659,,0.13926637172698975,,
,,0.001,2669,,,,
1,,,2669,,0.15076783299446106,,
,,0.001,2679,,,,
1,,,2679,,0.12969708442687988,,
,,0.001,2689,,,,
1,,,2689,,0.13633786141872406,,
,,0.001,2699,,,,
1,,,2699,,0.1283470243215561,,
,,0.001,2709,,,,
1,,,2709,,0.12798558175563812,,
,,0.001,2719,,,,
1,,,2719,,0.1356358677148819,,
,,0.001,2729,,,,
1,,,2729,,0.123997762799263,,
,,0.001,2739,,,,
1,,,2739,,0.1440354287624359,,
,,0.001,2749,,,,
1,,,2749,,0.1268824189901352,,
,,0.001,2759,,,,
1,,,2759,,0.1310964673757553,,
,,0.001,2769,,,,
1,,,2769,,0.12666958570480347,,
,,0.001,2779,,,,
1,,,2779,,0.14271660149097443,,
,,0.001,2789,,,,
1,,,2789,,0.12282213568687439,,
,,0.001,2799,,,,
1,,,2799,,0.1422247290611267,,
,,0.001,2809,,,,
1,,,2809,,0.12067262083292007,,
,,0.001,2819,,,,
1,,,2819,,0.12981393933296204,,
,,0.001,2829,,,,
1,,,2829,,0.12380702793598175,,
,,0.001,2839,,,,
1,,,2839,,0.1278502345085144,,
,,0.001,2849,,,,
1,,,2849,,0.13949483633041382,,
,,0.001,2859,,,,
1,,,2859,,0.1288316249847412,,
,,0.001,2869,,,,
1,,,2869,,0.13458184897899628,,
,,0.001,2879,,,,
1,,,2879,,0.11926160007715225,,
,,0.001,2889,,,,
1,,,2889,,0.11987414956092834,,
,,0.001,2899,,,,
1,,,2899,,0.15625882148742676,,
,,0.001,2909,,,,
1,,,2909,,0.1364128291606903,,
,,0.001,2919,,,,
1,,,2919,,0.1244606301188469,,
,,0.001,2929,,,,
1,,,2929,,0.13236738741397858,,
,,0.001,2939,,,,
1,,,2939,,0.1298515945672989,,
,,0.001,2949,,,,
1,,,2949,,0.13398128747940063,,
,,0.001,2959,,,,
1,,,2959,,0.1260850429534912,,
,,0.001,2969,,,,
1,,,2969,,0.13861152529716492,,
,,0.001,2979,,,,
1,,,2979,,0.1421046257019043,,
,,0.001,2989,,,,
1,,,2989,,0.13121376931667328,,
,,0.001,2999,,,,
1,,,2999,,0.1243632584810257,,
,,0.001,3009,,,,
1,,,3009,,0.12409533560276031,,
,,0.001,3019,,,,
1,,,3019,,0.1217368021607399,,
,,0.001,3029,,,,
1,,,3029,,0.12979331612586975,,
,,0.001,3039,,,,
1,,,3039,,0.1248631700873375,,
,,0.001,3049,,,,
1,,,3049,,0.1326608657836914,,
,,0.001,3059,,,,
1,,,3059,,0.11834730952978134,,
,,0.001,3069,,,,
1,,,3069,,0.12218117713928223,,
,,0.001,3079,,,,
1,,,3079,,0.1214527040719986,,
